Month,prices: (United States)
2004-01,67
2004-02,65
2004-03,74
2004-04,70
2004-05,87
2004-06,69
2004-07,70
2004-08,64
2004-09,59
2004-10,62
2004-11,64
2004-12,60
2005-01,55
2005-02,55
2005-03,65
2005-04,70
2005-05,60
2005-06,60
2005-07,64
2005-08,93
2005-09,100
2005-10,63
2005-11,61
2005-12,57
2006-01,58
2006-02,56
2006-03,55
2006-04,75
2006-05,67
2006-06,57
2006-07,61
2006-08,56
2006-09,62
2006-10,55
2006-11,55
2006-12,50
2007-01,53
2007-02,49
2007-03,54
2007-04,57
2007-05,66
2007-06,55
2007-07,55
2007-08,51
2007-09,50
2007-10,50
2007-11,59
2007-12,52
2008-01,55
2008-02,54
2008-03,68
2008-04,72
2008-05,80
2008-06,77
2008-07,72
2008-08,63
2008-09,76
2008-10,84
2008-11,77
2008-12,71
2009-01,62
2009-02,60
2009-03,61
2009-04,56
2009-05,60
2009-06,61
2009-07,60
2009-08,57
2009-09,54
2009-10,57
2009-11,56
2009-12,56
2010-01,56
2010-02,55
2010-03,54
2010-04,54
2010-05,56
2010-06,56
2010-07,55
2010-08,52
2010-09,48
2010-10,47
2010-11,52
2010-12,52
2011-01,62
2011-02,64
2011-03,73
2011-04,77
2011-05,76
2011-06,70
2011-07,67
2011-08,70
2011-09,64
2011-10,62
2011-11,58
2011-12,59
2012-01,59
2012-02,67
2012-03,68
2012-04,63
2012-05,64
2012-06,70
2012-07,69
2012-08,62
2012-09,61
2012-10,63
2012-11,58
2012-12,57
2013-01,56
2013-02,58
2013-03,59
2013-04,59
2013-05,60
2013-06,65
2013-07,63
2013-08,59
2013-09,55
2013-10,53
2013-11,54
2013-12,51
2014-01,55
2014-02,56
2014-03,55
2014-04,56
2014-05,56
2014-06,58
2014-07,61
2014-08,55
2014-09,52
2014-10,55
2014-11,56
2014-12,67
2015-01,72
2015-02,62
2015-03,62
2015-04,59
2015-05,61
2015-06,63
2015-07,72
2015-08,75
2015-09,65
2015-10,58
2015-11,57
2015-12,62
2016-01,70
2016-02,70
2016-03,66
2016-04,65
2016-05,66
2016-06,70
2016-07,72
2016-08,60
2016-09,59
2016-10,58
2016-11,58
2016-12,60
2017-01,63
2017-02,63
2017-03,63
2017-04,64
2017-05,65
2017-06,69
2017-07,72
2017-08,68
2017-09,63
2017-10,59
2017-11,58
2017-12,62
2018-01,62
2018-02,64
2018-03,63
2018-04,65
2018-05,68
2018-06,66
2018-07,69
2018-08,62
2018-09,58
2018-10,57
2018-11,58
2018-12,59
2019-01,60
2019-02,57
2019-03,60
2019-04,61
2019-05,59
2019-06,66
2019-07,66
2019-08,61
2019-09,57
2019-10,54
2019-11,52
2019-12,52
2020-01,55
2020-02,58
2020-03,64
2020-04,61
2020-05,48
2020-06,48
2020-07,48
2020-08,46
2020-09,43
2020-10,45
2020-11,42
2020-12,42