Month,prices: (Canada)
2004-01,43
2004-02,37
2004-03,50
2004-04,52
2004-05,68
2004-06,46
2004-07,45
2004-08,49
2004-09,42
2004-10,42
2004-11,41
2004-12,40
2005-01,40
2005-02,32
2005-03,46
2005-04,46
2005-05,39
2005-06,48
2005-07,47
2005-08,65
2005-09,100
2005-10,47
2005-11,45
2005-12,40
2006-01,39
2006-02,34
2006-03,42
2006-04,49
2006-05,46
2006-06,40
2006-07,43
2006-08,44
2006-09,38
2006-10,42
2006-11,35
2006-12,34
2007-01,35
2007-02,37
2007-03,37
2007-04,37
2007-05,47
2007-06,37
2007-07,39
2007-08,37
2007-09,37
2007-10,38
2007-11,43
2007-12,35
2008-01,37
2008-02,37
2008-03,43
2008-04,46
2008-05,46
2008-06,52
2008-07,48
2008-08,43
2008-09,53
2008-10,58
2008-11,54
2008-12,45
2009-01,42
2009-02,40
2009-03,42
2009-04,40
2009-05,44
2009-06,42
2009-07,45
2009-08,45
2009-09,41
2009-10,40
2009-11,42
2009-12,40
2010-01,40
2010-02,38
2010-03,41
2010-04,44
2010-05,44
2010-06,43
2010-07,42
2010-08,43
2010-09,38
2010-10,39
2010-11,40
2010-12,40
2011-01,42
2011-02,45
2011-03,47
2011-04,54
2011-05,56
2011-06,45
2011-07,50
2011-08,55
2011-09,47
2011-10,43
2011-11,42
2011-12,40
2012-01,41
2012-02,41
2012-03,44
2012-04,47
2012-05,43
2012-06,46
2012-07,47
2012-08,44
2012-09,46
2012-10,45
2012-11,42
2012-12,39
2013-01,41
2013-02,40
2013-03,41
2013-04,44
2013-05,46
2013-06,44
2013-07,49
2013-08,47
2013-09,39
2013-10,39
2013-11,39
2013-12,39
2014-01,41
2014-02,43
2014-03,44
2014-04,48
2014-05,45
2014-06,46
2014-07,49
2014-08,48
2014-09,41
2014-10,46
2014-11,48
2014-12,65
2015-01,71
2015-02,60
2015-03,56
2015-04,53
2015-05,53
2015-06,53
2015-07,60
2015-08,70
2015-09,56
2015-10,51
2015-11,50
2015-12,58
2016-01,67
2016-02,68
2016-03,60
2016-04,59
2016-05,57
2016-06,59
2016-07,57
2016-08,56
2016-09,52
2016-10,48
2016-11,49
2016-12,50
2017-01,51
2017-02,48
2017-03,51
2017-04,55
2017-05,51
2017-06,53
2017-07,57
2017-08,60
2017-09,56
2017-10,46
2017-11,51
2017-12,47
2018-01,51
2018-02,49
2018-03,52
2018-04,58
2018-05,59
2018-06,53
2018-07,59
2018-08,58
2018-09,49
2018-10,49
2018-11,51
2018-12,50
2019-01,47
2019-02,46
2019-03,50
2019-04,58
2019-05,52
2019-06,53
2019-07,54
2019-08,54
2019-09,48
2019-10,43
2019-11,41
2019-12,40
2020-01,43
2020-02,46
2020-03,70
2020-04,49
2020-05,40
2020-06,38
2020-07,37
2020-08,38
2020-09,35
2020-10,33
2020-11,31
2020-12,28